The Official INWO Card List      April 18, 1995

Here it is - the official card list for Illuminati: New World Order. We
didn't publish this list when the game came out for several reasons . . .
and the best one is that so many collectors seem to enjoy figuring it out
for themselves! It was amazing to watch the messages fly back and forth on
the Internet newsgroup rec.games.trading-cards.misc, as recipients of our
free Rare cards started posting what they got, and other folks who just
bought truckloads of cards started putting lists together. (We saw the
first post listing every card in the original release only 4 days after the
Dec. 16 release.)

But for those of you who don't have access to the net, this information
could come in handy, especially come trading time. If game play is all
you're concerned about, then trading based on a card's merits and how it
fits with the type of deck you're trying to build is fine. But for you
collectors out there, knowing the rarity of each card is a must.
One more thing : We're very pleased to give the artists who worked so hard
on INWO specific credit for each and every card. So don't be shy when you
see them at a convention - get 'em to autograph the cards they helped
create!

Copyright (C) 1995 Steve Jackson Games Incorporated. Permission is given to
photocopy this list for personal use.



LIST KEY:
Frequency:
C - Common                    U - Uncommon
R - Rare                      I - Illuminati
S - Special

Type:
Grp. - Group Cards            Plc. - Place (Group)
Per. - Personality (Group)    Res. - Resource (Group)
Plot - Plot Cards             Ass. - Assassination (Plot)
Dis. - Disaster (Plot)        Ill. - Illuminati

Artist:
Bill - Bill Barker            Rick H. - Rick Harris
Jeff - Jeff Koke              John - John Kovalic
Derek - Derek Pearcy          Shea - Shea Ryan
Dan - Dan Smith               Ruth - Ruth Thompson
Gary - Gary Washington

Coloring:
Jeff - Jeff Koke              Rick - Rick Martin
Derek - Derek Pearcy


Name                          Freq. Type  Artist  Coloring
18 1/2-Minute Gap             R     Plot  Shea    Jeff
A.M.A.                        C     Grp.  Dan     Jeff
Adepts of Hermes              I     Ill.  Shea    Derek
Agent in Place                C     Plot  Shea    Derek
Air Magic (Limited)           U     Plot  Shea    Rick
   (Unlimited)                            Dan     Jeff
Al Gore                       C     Per.  Shea    Jeff
Albino Alligators             C     Plot  Dan     Jeff
Alternate Goals               C     Plot  Dan     Rick
American Autoduel             C     Grp.  Dan     Jeff
   Association
And STAY Dead!                C     Plot  Shea    Rick
Angel's Feather               C     Res.  Shea    Jeff
Angst                         R     Plot  Dan     Derek
Annual Convention             R     Plot  Dan     Derek
Anti-Nuclear Activists        C     Grp.  Dan     Derek
Antiwar Activists             R     Grp.  Shea    Jeff
Are We Having Fun Yet?        C     Plot  Dan     Rick
Ark of the Covenant           R     Res.  Shea    Derek
Assertiveness Training        C     Plot  Shea    Derek
Atomic Monster                C     Dis.  Dan     Derek
The Auditor from Hell         C     Plot  Dan     Rick
B.A.T.F.                      U     Grp.  Dan     Derek
Backlash                      C     Plot  Dan     Jeff
Bank Merger                   U     Plot  Dan     Jeff
Bank of England               R     Grp.  Shea    Rick
Bavarian Illuminati           I     Ill.  Jeff    Jeff
Benefit Concert               C     Plot  Dan     Derek
Bermuda Triangle              I     Ill.  Dan     Jeff
Big Media                     C     Grp.  Dan     Derek
The Big Score                 C     Plot  Dan     Rick
The Big Sellout               R     Plot  Dan     Jeff
Bigfoot                       C     Res.  Shea    Derek
Bill Clinton                  C     Per.  Shea    Derek
